word	phon
jiggled	'_I-gPd
job	'_Qb
johnson's	'_Qn-sHz
join	'_4n
joke	'_5k
joseph	'_5-sEf
joseph's	'_5-sEfs
journey	'_3-nI
juice	'_us
julie	'_u-lI
jump	'_Vmp
jumper	'_Vm-p@R
jumping	'_Vm-pIN
just	'_Vst
jutting	'_V-tIN
keen	'kin
keep	'kip
keeping	'ki-pIN
keeps	'kips
keith	'kiT
kettle	'kE-tP
kick	'kIk
kicked	'kIkt
kickello	kI-'kE-l5
kicking	'kI-kIN
kidding	'kI-dIN
kidney	'kId-nI
killing	'kI-lIN
kind	'k2nd
king	'kIN
kiss	'kIs
kitchen	'kI-JIn
kittens	'kI-tHz
kitty	'kI-tI
knacks	'n{ks
knee	'ni
knees	'niz
knew	'nju
knick	'nIk
knicker	'nI-k@
knock	'nQk
knockers	'nQ-k@z
knot	'nQt
know	'n5
knows	'n5z
knuckles	'nV-kPz
lad	'l{d
lady	'l1-dI
lambchahhh	'l{m-JQ
lambchop	'l{m-JQp
lambchop's	'l{m-JQps
lambs	'l{mz
lard	'l#d
last	'l#st
late	'l1t
laugh	'l#f
laughing	'l#-fIN
laughs	'l#fs
learnt	'l3nt
least	'list
leave	'liv
leaving	'li-vIN
left	'lEft
leg	'lEg
leggies	'lE-gIz
leggy	'lE-gI
legs	'lEgz
lemon	'lE-m@n
lend	'lEnd
less	'lEs
let	'lEt
let's	'lEts
lets	'lEts
lewi	'lu-I
lewis	'lu-Is
liar	'l2-@R
licking	'lI-kIN
lie	'l2
life	'l2f
lift	'lIft
lifting	'lIf-tIN
lifty	'lIf-tI
light	'l2t
lights	'l2ts
like	'l2k
liked	'l2kt
likes	'l2ks
line	'l2n
lip	'lIp
listen	'lI-sH
little	'lI-tP
lives	'lIvz
locks	'lQks
lonely	'l5n-lI
long	'lQN
longer	'lQN-g@R
look	'lUk
looked	'lUkt
looking	'lU-kIN
looks	'lUks
lorry	'lQ-rI
lost	'lQst
lot	'lQt
lot's	'lQts
lots	'lQts
lou-lou	'lu-lu
love	'lVv
lovely	'lVv-lI
loves	'lVvz
lu	'lu
lucky	'lV-kI
lulu	'lu-lu
lulu's	'lu-luz
lump	'lVmp
lunch	'lVnJ
lunchtime	'lVnJ-t2m
lying	'l2-IN
machine	m@-'Sin
mad	'm{d
